"","filename","time_index","timestamp","band_index","band"
"238","disk/t_19/b_4.tif","19","2017-06-20 08:20:11","4","4"
"239","disk/t_19/b_5.tif","19","2017-06-20 08:20:11","5","5"
"240","disk/t_19/b_6.tif","19","2017-06-20 08:20:11","6","6"
"241","disk/t_19/b_7.tif","19","2017-06-20 08:20:11","7","7"
"242","disk/t_19/b_8.tif","19","2017-06-20 08:20:11","8","8"
"243","disk/t_19/b_9.tif","19","2017-06-20 08:20:11","9","8a"
"244","disk/t_19/b_10.tif","19","2017-06-20 08:20:11","10","9"
"245","disk/t_19/b_11.tif","19","2017-06-20 08:20:11","11","10"
"246","disk/t_19/b_12.tif","19","2017-06-20 08:20:11","12","11"
"247","disk/t_19/b_13.tif","19","2017-06-20 08:20:11","13","12"
"248","disk/t_20/b_1.tif","20","2017-06-30 08:16:01","1","1"
"249","disk/t_20/b_2.tif","20","2017-06-30 08:16:01","2","2"
"250","disk/t_20/b_3.tif","20","2017-06-30 08:16:01","3","3"
"251","disk/t_20/b_4.tif","20","2017-06-30 08:16:01","4","4"
"252","disk/t_20/b_5.tif","20","2017-06-30 08:16:01","5","5"
"253","disk/t_20/b_6.tif","20","2017-06-30 08:16:01","6","6"
"254","disk/t_20/b_7.tif","20","2017-06-30 08:16:01","7","7"
"255","disk/t_20/b_8.tif","20","2017-06-30 08:16:01","8","8"
"256","disk/t_20/b_9.tif","20","2017-06-30 08:16:01","9","8a"
"257","disk/t_20/b_10.tif","20","2017-06-30 08:16:01","10","9"
"258","disk/t_20/b_11.tif","20","2017-06-30 08:16:01","11","10"
"259","disk/t_20/b_12.tif","20","2017-06-30 08:16:01","12","11"
"260","disk/t_20/b_13.tif","20","2017-06-30 08:16:01","13","12"
"261","disk/t_21/b_1.tif","21","2017-07-10 08:20:11","1","1"
"262","disk/t_21/b_2.tif","21","2017-07-10 08:20:11","2","2"
"263","disk/t_21/b_3.tif","21","2017-07-10 08:20:11","3","3"
"264","disk/t_21/b_4.tif","21","2017-07-10 08:20:11","4","4"
"265","disk/t_21/b_5.tif","21","2017-07-10 08:20:11","5","5"
"266","disk/t_21/b_6.tif","21","2017-07-10 08:20:11","6","6"
"267","disk/t_21/b_7.tif","21","2017-07-10 08:20:11","7","7"
"268","disk/t_21/b_8.tif","21","2017-07-10 08:20:11","8","8"
"269","disk/t_21/b_9.tif","21","2017-07-10 08:20:11","9","8a"
"270","disk/t_21/b_10.tif","21","2017-07-10 08:20:11","10","9"
"271","disk/t_21/b_11.tif","21","2017-07-10 08:20:11","11","10"
"272","disk/t_21/b_12.tif","21","2017-07-10 08:20:11","12","11"
"273","disk/t_21/b_13.tif","21","2017-07-10 08:20:11","13","12"
"274","disk/t_22/b_1.tif","22","2017-07-20 08:16:01","1","1"
"275","disk/t_22/b_2.tif","22","2017-07-20 08:16:01","2","2"
"276","disk/t_22/b_3.tif","22","2017-07-20 08:16:01","3","3"
"277","disk/t_22/b_4.tif","22","2017-07-20 08:16:01","4","4"
"278","disk/t_22/b_5.tif","22","2017-07-20 08:16:01","5","5"
"279","disk/t_22/b_6.tif","22","2017-07-20 08:16:01","6","6"
"280","disk/t_22/b_7.tif","22","2017-07-20 08:16:01","7","7"
"281","disk/t_22/b_8.tif","22","2017-07-20 08:16:01","8","8"
"282","disk/t_22/b_9.tif","22","2017-07-20 08:16:01","9","8a"
"283","disk/t_22/b_10.tif","22","2017-07-20 08:16:01","10","9"
"284","disk/t_22/b_11.tif","22","2017-07-20 08:16:01","11","10"
"285","disk/t_22/b_12.tif","22","2017-07-20 08:16:01","12","11"
"286","disk/t_22/b_13.tif","22","2017-07-20 08:16:01","13","12"
"287","disk/t_23/b_1.tif","23","2017-07-30 08:20:11","1","1"
"288","disk/t_23/b_2.tif","23","2017-07-30 08:20:11","2","2"
"289","disk/t_23/b_3.tif","23","2017-07-30 08:20:11","3","3"
"290","disk/t_23/b_4.tif","23","2017-07-30 08:20:11","4","4"
"291","disk/t_23/b_5.tif","23","2017-07-30 08:20:11","5","5"
"292","disk/t_23/b_6.tif","23","2017-07-30 08:20:11","6","6"
"293","disk/t_23/b_7.tif","23","2017-07-30 08:20:11","7","7"
"294","disk/t_23/b_8.tif","23","2017-07-30 08:20:11","8","8"
"295","disk/t_23/b_9.tif","23","2017-07-30 08:20:11","9","8a"
"296","disk/t_23/b_10.tif","23","2017-07-30 08:20:11","10","9"
"297","disk/t_23/b_11.tif","23","2017-07-30 08:20:11","11","10"
"298","disk/t_23/b_12.tif","23","2017-07-30 08:20:11","12","11"
"299","disk/t_23/b_13.tif","23","2017-07-30 08:20:11","13","12"
"300","disk/t_24/b_1.tif","24","2017-08-09 08:16:01","1","1"
"301","disk/t_24/b_2.tif","24","2017-08-09 08:16:01","2","2"
